Date,Pasture,Sample#,DW kg/ha,%moist
8/12/2020,P16,4,2352,76
8/12/2020,P16,5,2960,74
8/12/2020,P18,1,1204,67
8/12/2020,P18,2,3260,61
8/12/2020,P18,3,1236,72
8/12/2020,P18,4,1780,67
8/12/2020,P18,5,2632,65
8/12/2020,P20,1,2232,69
8/12/2020,P20,2,1408,69
8/12/2020,P20,3,1644,69
8/12/2020,P20,4,1508,70
8/12/2020,P20,5,1476,68
10/15/2020,P11,1,3576,45
10/15/2020,P11,2,3192,45
10/15/2020,P11,3,1328,49
10/15/2020,P11,4,4224,47
10/15/2020,P11,5,1800,52
10/15/2020,P13,1,2380,32
10/15/2020,P13,2,4940,34
10/15/2020,P13,3,3144,46
10/15/2020,P13,4,2812,41
10/15/2020,P13,5,3892,41
10/15/2020,P14,1,1004,41
10/15/2020,P14,2,1972,41
10/15/2020,P14,3,4120,27
10/15/2020,P14,4,3776,40
10/15/2020,P14,5,3444,30
10/15/2020,P15,1,1832,47
10/15/2020,P15,2,2848,51
10/15/2020,P15,3,4624,45
10/15/2020,P15,4,2012,46
10/15/2020,P15,5,2448,44
10/15/2020,P16,1,1860,32
10/15/2020,P16,2,2008,35
10/15/2020,P16,3,2200,36
10/15/2020,P16,4,1768,43
10/15/2020,P16,5,2676,27
10/15/2020,P18,1,2356,49
10/15/2020,P18,2,2432,46
10/15/2020,P18,3,2584,49
10/15/2020,P18,4,3008,46
10/15/2020,P18,5,2596,46
10/15/2020,P20,1,2420,57
10/15/2020,P20,2,2676,54
10/15/2020,P20,3,2616,54
10/15/2020,P20,4,1936,55
10/15/2020,P20,5,1604,57
5/16/2019,P13,1,1204,62
5/16/2019,P13,2,2096,44
5/16/2019,P13,3,1216,52
5/16/2019,P13,4,1268,50
5/16/2019,P13,5,2052,46
5/16/2019,P14,1,812,81
5/16/2019,P14,2,1324,75
5/16/2019,P14,3,820,76
5/16/2019,P14,4,1640,78
5/16/2019,P14,5,824,73
5/16/2019,P15,1,912,65
5/16/2019,P15,2,1392,64
5/16/2019,P15,3,2400,59
5/16/2019,P15,4,1152,62
5/16/2019,P15,5,1396,59
5/16/2019,P16,1,1492,67
5/16/2019,P16,2,4960,77
5/16/2019,P16,3,1220,72
5/16/2019,P16,4,2368,71
5/16/2019,P16,5,1172,75
5/16/2019,P18,1,1016,72
5/16/2019,P18,2,1612,74
5/16/2019,P18,3,1204,73
5/16/2019,P18,4,1244,73
5/16/2019,P18,5,1180,74
5/16/2019,P20,1,2096,65
5/16/2019,P20,2,944,65
5/16/2019,P20,3,1248,68
5/16/2019,P20,4,1160,71
5/16/2019,P20,5,1340,70
6/17/2019,P13,1,4416,57
6/17/2019,P13,2,2800,65
6/17/2019,P13,3,2760,65
6/17/2019,P13,4,2296,66
6/17/2019,P13,5,3744,62
6/17/2019,P14,1,3740,85
6/17/2019,P14,2,3124,68
6/17/2019,P14,3,3308,74
6/17/2019,P14,4,2296,71
6/17/2019,P14,5,2520,75
6/17/2019,P15,1,7332,54
6/17/2019,P15,2,3084,47
6/17/2019,P15,3,3456,59
6/17/2019,P15,4,3232,57
6/17/2019,P15,5,3216,59
6/17/2019,P16,1,3908,66
6/17/2019,P16,2,4176,69
6/17/2019,P16,3,4548,67
6/17/2019,P16,4,5668,63
6/17/2019,P16,5,5100,58
6/17/2019,P18,1,3368,
6/17/2019,P18,2,3560,
6/17/2019,P18,3,3220,
6/17/2019,P18,4,2808,
6/17/2019,P18,5,3048,
6/17/2019,P20,1,2620,
6/17/2019,P20,2,3492,
6/17/2019,P20,3,2760,
6/17/2019,P20,4,3288,
6/17/2019,P20,5,4584,
7/15/2019,P18,1,5012,61
7/15/2019,P18,2,3536,63
7/15/2019,P18,3,4056,60
7/15/2019,P18,4,3212,56
7/15/2019,P18,5,3484,62
7/15/2019,P20,1,5672,58
7/15/2019,P20,2,4452,56
7/15/2019,P20,3,6444,61
7/15/2019,P20,4,5100,58
7/15/2019,P20,5,2624,74
7/16/2019,P13,1,3124,72
7/16/2019,P13,2,5284,70
7/16/2019,P13,3,6652,66
7/16/2019,P13,4,5152,68
7/16/2019,P13,5,4792,66
7/16/2019,P14,1,6824,67
7/16/2019,P14,2,8172,66
7/16/2019,P14,3,5480,64
7/16/2019,P14,4,6724,65
7/16/2019,P14,5,4136,66
7/16/2019,P15,1,6172,62
7/16/2019,P15,2,8992,53
7/16/2019,P15,3,4872,67
7/16/2019,P15,4,5952,54
7/16/2019,P15,5,7560,55
7/16/2019,P16,1,7484,63
7/16/2019,P16,2,4140,64
7/16/2019,P16,3,6372,56
7/16/2019,P16,4,4596,68
7/16/2019,P16,5,4560,56
8/14/2019,P13,1,5260,54
8/14/2019,P13,2,6004,54
8/14/2019,P13,3,6544,51
8/14/2019,P13,4,8312,43
8/14/2019,P13,5,4296,62
8/14/2019,P14,1,8544,48
8/14/2019,P14,2,13016,56
8/14/2019,P14,3,8108,53
8/14/2019,P14,4,6896,53
8/14/2019,P14,5,8780,53
8/14/2019,P15,1,7076,47
8/14/2019,P15,2,4192,46
8/14/2019,P15,3,6456,53
8/14/2019,P15,4,4576,46
8/14/2019,P15,5,5564,42
8/14/2019,P16,1,9456,51
8/14/2019,P16,2,5176,48
8/14/2019,P16,3,5496,53
8/14/2019,P16,4,4852,41
8/14/2019,P16,5,5932,48
8/14/2019,P18,1,4772,51
8/14/2019,P18,2,5228,53
8/14/2019,P18,3,5768,51
8/14/2019,P18,4,3592,53
8/14/2019,P18,5,7052,55
8/14/2019,P20,1,2800,50
8/14/2019,P20,2,2396,49
8/14/2019,P20,3,2112,49
8/14/2019,P20,4,2008,54
8/14/2019,P20,5,2084,52
9/18/2019,P13,1,6404,43
9/18/2019,P13,2,12236,44
9/18/2019,P13,3,4808,60
9/18/2019,P13,4,4172,52
9/18/2019,P13,5,3576,65
9/18/2019,P14,1,6192,46
9/18/2019,P14,2,7008,41
9/18/2019,P14,3,22560,43
9/18/2019,P14,4,7708,30
9/18/2019,P14,5,5884,46
9/18/2019,P15,1,4196,49
9/18/2019,P15,2,5576,55
9/18/2019,P15,3,3568,62
9/18/2019,P15,4,5104,41
9/18/2019,P15,5,4708,41
9/18/2019,P16,1,4900,45
9/18/2019,P16,2,2976,60
9/18/2019,P16,3,2808,59
9/18/2019,P16,4,5580,54
9/18/2019,P16,5,2684,58
9/18/2019,P18,1,7396,47
9/18/2019,P18,2,3040,58
9/18/2019,P18,3,6420,44
9/18/2019,P18,4,4716,45
9/18/2019,P18,5,4924,49
9/18/2019,P20,1,2464,57
9/18/2019,P20,2,1600,56
9/18/2019,P20,3,3112,57
9/18/2019,P20,4,2232,59
9/18/2019,P20,5,3980,61
1/30/2018,P18,1,2984,18
1/30/2018,P18,2,2176,18
1/30/2018,P18,3,3656,16
1/30/2018,P18,4,5008,16
1/30/2018,P18,5,4748,17
5/1/2018,P18,1,376,70
5/1/2018,P18,2,352,74
5/1/2018,P18,3,192,75
5/1/2018,P18,4,204,76
5/1/2018,P18,5,180,73
5/16/2018,P18,1,510.8,80
5/16/2018,P18,2,1065.2,77
5/16/2018,P18,3,773.2,80
5/16/2018,P18,4,973.2,80
5/16/2018,P18,5,576,81
5/30/2018,P18,1,1440,71
5/30/2018,P18,2,1772,70
5/30/2018,P18,3,1324,72
5/30/2018,P18,4,2156,70
5/30/2018,P18,5,3424,69
6/18/2018,P18,1,3180,56
6/18/2018,P18,2,4028,55
6/18/2018,P18,3,2116,58
6/18/2018,P18,4,1728,58
6/18/2018,P18,5,1996,58
7/3/2018,P18,1,912,63
7/3/2018,P18,2,1836,61
7/3/2018,P18,3,3944,60
7/3/2018,P18,4,3632,63
7/3/2018,P18,5,2340,60
7/23/2018,P18 ,1,2648,52
7/23/2018,P18 ,2,1924,48
7/23/2018,P18 ,3,2016,46
8/7/2018,P18 ,1,2580,34
8/7/2018,P18 ,2,1944,35
8/7/2018,P18 ,3,1580,44
8/7/2018,P18 ,4,1324,36
8/7/2018,P18 ,5,2284,34
9/18/2018,P18 ,1,4900,59
9/18/2018,P18 ,2,3100,58
9/18/2018,P18 ,3,3744,57
9/18/2018,P18 ,4,2684,62
9/18/2018,P18 ,5,5824,58
5/18/2017,P18,1,1320,71
5/18/2017,P18,2,2060,72
5/18/2017,P18,3,2288,69
6/28/2017,P18,1,3128,60
6/28/2017,P18,2,3668,61
6/28/2017,P18,3,4360,57
6/28/2017,P18,4,3028,56
6/28/2017,P18,5,3732,57
8/9/2017,P18,1,2944,52
8/9/2017,P18,2,2684,55
8/9/2017,P18,3,4036,53
9/6/2017,P18,1,4249.6,60
9/6/2017,P18,2,5644.4,63
9/6/2017,P18,3,3326.4,79
10/25/2017,P18,1,4844,39
10/25/2017,P18,2,3950,39
10/25/2017,P18,3,2114.4,50
5/25/2016,P18,1,3580,
5/25/2016,P18,2,2336,
5/25/2016,P18,3,1660,
5/25/2016,P18,4,1464,
5/25/2016,P18,5,2480,
6/8/2016,P18,1,2332,
6/8/2016,P18,2,4216,
6/8/2016,P18,3,4668,
6/8/2016,P18,4,3388,
6/8/2016,P18,5,5092,
6/22/2016,P18,1,5264,
6/22/2016,P18,2,5096,
6/22/2016,P18,3,3228,
6/22/2016,P18,4,3852,
6/22/2016,P18,5,3556,
7/6/2016,P18,1,4740,
7/6/2016,P18,2,4772,
7/6/2016,P18,3,4448,
7/6/2016,P18,4,4924,
7/6/2016,P18,5,3416,
7/20/2016,P18,1,2936,
7/20/2016,P18,2,3200,
7/20/2016,P18,3,4900,
7/20/2016,P18,4,4864,
7/20/2016,P18,5,5204,
8/10/2016,P18,1,6744,
8/10/2016,P18,2,5448,
8/10/2016,P18,3,4348,
8/10/2016,P18,4,3592,
8/10/2016,P18,5,5420,
8/24/2016,P18,1,3892,
8/24/2016,P18,2,3320,
8/24/2016,P18,3,2488,
8/24/2016,P18,4,3712,
8/24/2016,P18,5,3304,
